week;rank;title;singer;writer;album;isMV
37;5;gui anh va co ay;huong tram;nguyen hong thuan;gui anh va co ay single;false
37;6;sai nguoi sai thoi diem;thanh hung;thanh hung;;false
37;7;dung nhu thoi quen;jaykii sara luu;duong khac linhhoang huy longjaykii;;false
37;8;suyt nua thi chuyen di cua thanh xuan ost;andiez;andiez;suyt nua thi chuyen di cua thanh xuan ost single;false
37;9;thay the;ho gia hung;dong thien duc;thay the single;false
37;10;yeu roi gao nep gao te ost;tino;tang nhat tue;;false
37;11;lo thuong mot nguoi;nguyen dinh vu;nguyen dinh vu;lo thuong mot nguoi single;true
37;12;tan cung noi nho new version;will han sara;andiez;;false
37;13;u co anh day;tino;tang nhat tue;u co anh day single;false
37;14;minh chia tay di;erik;shin hyun wookrazy park;;false
37;15;cham day noi dau;erik;mr siro;cham day noi dau single;true
37;16;phai the thoi;le bao binh;le bao binh;;false
37;17;sao em no;jaykii;duong khac linhtrang phap;;true
37;18;thanh xuan;da lab;da lab;;false
37;19;catena;toc tien touliver;bui cong nam;catena single;true
37;20;roi bo;hoa minzy;vu huy hoang;roi bo single;true
37;21;em hanh phuc chu;nguyen dinh vu;bao thach;em hanh phuc chu single;false
37;22;roi nguoi thuong cung hoa nguoi dung;hien ho;rin9;;false
37;23;dep nhat la em;soobin hoang son jiyeon;krazy parkeddy s park;;false
37;24;vo thuong;karik orange;karik;;false
37;25;ket thuc mot cuoc tinh;cao nam thanh;cao nam thanh;ket thuc mot cuoc tinh single;false
37;26;ai la ai cua ai;trinh thang binh;trinh thang binhnguyen van trung;;false
37;27;nguoi am phu;osad vrt;osadvrt;;false
37;28;cu lac;osad turn hirn;osad;;false
37;29;sofar;binz;binz;;false
37;30;phia sau em;kay tran binz;kay tranbinz;;false
37;31;cuoc song em on khong;anh tu;vuong anh tu;;false
37;32;tam su tuoi 30 ong ngoai tuoi 30 ost;trinh thang binh;;;true
37;33;co gai m52;huyr tung viu;huyrtung viu;;false
37;34;em oi em dau roi;chu bin;dinh tung huy;;false
37;35;nguoi doi thay;cao nam thanh;cao nam thanh;;false
37;36;vi yeu la nho ong ngoai tuoi 30 ost;han sara;onlycquang hung;;false
37;37;ai khoc noi dau nay;bao anh;duc tri;;false
37;38;vo cung vi anh thuong em;phan duy anh;vo hoai phuc;vo cung vi anh thuong em single;false
37;39;hom nay toi buon;phung khanh linh;phung khanh linh;;false
37;40;yeu thuong ngay do yeu em bat chap ost;soobin hoang son;khoa nguyen;yeu thuong ngay do yeu em bat chap ost single;true
38;1;tan cung noi nho;will;andiez;tan cung noi nho single;true
38;2;buon khong em;dat g;dat g;;false
38;3;duyen minh lo;huong tram;tu dua;duyen minh lo single;true
38;4;dung quen ten anh;hoa vinh;dat g;;false
38;5;chuyen tinh toi;kay tran nguyen khoa kass;nguyen khoa;chuyen tinh toi single;true
38;6;suyt nua thi chuyen di cua thanh xuan ost;andiez;andiez;suyt nua thi chuyen di cua thanh xuan ost single;false
38;7;gui anh va co ay;huong tram;nguyen hong thuan;gui anh va co ay single;false
38;8;sai nguoi sai thoi diem;thanh hung;thanh hung;;false
38;9;thay the;ho gia hung;dong thien duc;thay the single;false
38;10;tan cung noi nho new version;will han sara;andiez;;false
38;11;dung nhu thoi quen;jaykii sara luu;duong khac linhhoang huy longjaykii;;false
38;12;yeu roi gao nep gao te ost;tino;tang nhat tue;;false
38;13;u co anh day;tino;tang nhat tue;u co anh day single;false
38;14;lo thuong mot nguoi;nguyen dinh vu;nguyen dinh vu;lo thuong mot nguoi single;true
38;15;don coi tinh toi;chau khai phong;duy cuong;don coi tinh toi single;true
38;16;cham day noi dau;erik;mr siro;cham day noi dau single;true
38;17;sao em no;jaykii;duong khac linhtrang phap;;true
38;18;thanh xuan;da lab;da lab;;false
38;19;phai the thoi;le bao binh;le bao binh;;false
38;20;minh chia tay di;erik;shin hyun wookrazy park;;false
